Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
8.320001,0.03515653,0.08213142,-0.0730924,0.0328805,0.02764516,-0.01337329
8.323334,0.03540921,0.08104351,-0.07428568,0.03452549,0.02748044,-0.0124364
8.326667,0.03526135,0.08175233,-0.07457869,0.03707074,0.02532064,-0.01220142
8.33,0.03361431,0.08416632,-0.07367008,0.03851355,0.02385893,-0.01426671
8.333334,0.03286754,0.08377651,-0.0740661,0.038358,0.0230953,-0.01703008
8.336667,0.03262049,0.0833867,-0.07435911,0.03750436,0.02263304,-0.01809591
8.34,0.0340748,0.08139852,-0.07565158,0.0367499,0.02386832,-0.01736121
8.343333,0.03572747,0.07951335,-0.0759446,0.03789516,0.02400878,-0.01492515
8.346667,0.03717797,0.08052354,-0.07463544,0.03794179,0.02414543,-0.01258827
8.35,0.03693092,0.08223562,-0.07292955,0.0380876,0.02168045,-0.01115548
8.353333,0.03468497,0.08474497,-0.07042258,0.03763069,0.02061928,-0.01171777
8.356667,0.0333393,0.08645706,-0.06791561,0.03487733,0.01885621,-0.0121847
8.360001,0.0319898,0.08626943,-0.06600755,0.03312342,0.01809259,-0.0120489
8.363334,0.03084249,0.08488017,-0.06590002,0.02956897,0.01883195,-0.01021175
8.366667,0.03049626,0.0834909,-0.06609385,0.02691098,0.01906778,-0.008279231
8.37,0.0290514,0.08300572,-0.06708878,0.02485953,0.01950579,-0.005442629
8.373334,0.02700382,0.08291727,-0.06677907,0.02380371,0.01784571,-0.003605478
8.376667,0.02305651,0.08322555,-0.064974,0.0219468,0.01508319,-0.001070236
8.38,0.01890703,0.08313709,-0.06406539,0.02119234,0.01192012,0.000663918
8.383333,0.01536027,0.08315164,-0.06385867,0.01793926,0.01025623,0.001497805
8.386667,0.01321351,0.08136184,-0.06455223,0.01598317,0.009492607,0.004532771
8.39,0.01126892,0.08037312,-0.06554715,0.01482817,0.0107317,0.007468556
8.393333,0.01131942,0.07848413,-0.06683962,0.01397453,0.0118678,0.009103528
8.396667,0.01227401,0.07649595,-0.06853263,0.01521897,0.01220662,0.01123823
8.400001,0.01292723,0.07620914,-0.06812374,0.01706614,0.01244245,0.01167538
8.403334,0.01317991,0.07541879,-0.06711595,0.01850894,0.01168264,0.009011192
8.406667,0.01293286,0.07483061,-0.06671087,0.01855557,0.01191847,0.006144823
8.41,0.01508526,0.07234271,-0.06700389,0.01820166,0.01385565,0.003781992
8.413334,0.01923656,0.06775292,-0.067995,0.01964447,0.01449202,0.004116153
8.416667,0.02379222,0.06406721,-0.06849019,0.02109109,0.01463248,0.004652493
8.42,0.02714243,0.06097659,-0.06778376,0.02233553,0.01236969,0.005585562
8.423333,0.03039728,0.05868706,-0.06677596,0.02358379,0.0107058,0.006621627
8.426667,0.03364831,0.05820188,-0.06516926,0.02352742,0.008942722,0.004457161
8.43,0.03610207,0.05811343,-0.06246011,0.02357405,0.006679923,0.002090516
8.433333,0.03865501,0.05802498,-0.0608534,0.02201851,0.006019298,0.000627955
8.436666,0.04200904,0.05743298,-0.06034915,0.02156159,0.007254576,-0.001837872
8.440001,0.04546225,0.05654726,-0.06124107,0.0191096,0.008291491,-0.002903705
8.443334,0.04761465,0.05735908,-0.06183545,0.0185535,0.008630316,-0.004267085
8.446667,0.05026678,0.05896817,-0.06192629,0.01760068,0.007866694,-0.004833193
8.45,0.05141972,0.06117998,-0.06231849,0.01744513,0.006107435,-0.005796029
8.453334,0.0530724,0.06259452,-0.06211178,0.01598877,0.004542726,-0.009459671
8.456667,0.05372562,0.06380306,-0.06240479,0.01333459,0.004080464,-0.01252441
8.46,0.05458102,0.06391679,-0.06289998,0.01018069,0.004316292,-0.01399078
8.463333,0.05583315,0.06212698,-0.06359354,0.007526508,0.005456204,-0.01435471
8.466667,0.05808473,0.060238,-0.06338684,0.007069596,0.005894211,-0.01411973
8.47,0.06003876,0.05855118,-0.06237904,0.006914046,0.0064314,-0.01328585
8.473333,0.06019226,0.05786001,-0.05957071,0.008059306,0.005267234,-0.01305087
8.476666,0.05904495,0.05847346,-0.05816237,0.008807839,0.002603892,-0.01321262
8.48,0.05739791,0.05888474,-0.05765811,0.008350927,0.001943266,-0.01448063
8.483334,0.05765059,0.05699575,-0.05705086,0.008397556,0.002579638,-0.0151421
8.486667,0.05820463,0.05360759,-0.05644361,0.008142823,0.004318457,-0.01410985
8.49,0.05925458,0.05131805,-0.05573717,0.008887541,0.004855646,-0.01257406
8.493334,0.06010998,0.04932988,-0.05482856,0.01033416,0.004191205,-0.010138
8.496667,0.06096157,0.04764307,-0.05332104,0.01177697,0.002729493,-0.009101938
8.5,0.06061534,0.04715408,-0.0506157,0.01322359,0.000565876,-0.009267502
8.503333,0.05946803,0.045864,-0.04680792,0.01396831,-0.000293114,-0.0105317
8.506667,0.05981989,0.04467691,-0.0460023,0.01431249,4.19E-05,-0.01109781
8.51,0.06087365,0.04208983,-0.04669586,0.01365721,0.00197908,-0.01116038
8.513333,0.06112633,0.03899922,-0.04648534,0.01420356,0.003717898,-0.01052485
8.516666,0.06258065,0.03761377,-0.04757944,0.01494828,0.005254538,-0.008790698
8.52,0.06253196,0.03772368,-0.048273,0.015693,0.005692545,-0.006755183
8.523334,0.06148383,0.03863468,-0.04796711,0.01673908,0.004928923,-0.005719117
8.526667,0.06003897,0.04044595,-0.04866067,0.01688489,0.004367479,-0.006487404
8.53,0.05859029,0.04195967,-0.04965177,0.01342962,0.003905218,-0.007351058
8.533334,0.05744298,0.04277149,-0.05144396,0.008776546,0.005743219,-0.007314444
8.536667,0.05709675,0.04307977,-0.05383888,0.005721825,0.008378491,-0.00657974
8.54,0.05815051,0.04339186,-0.05582944,0.00316683,0.0109184,-0.005543674
8.543334,0.05940264,0.04420368,-0.055226,0.000810199,0.01315313,-0.004110881
8.546667,0.05995669,0.04651467,-0.05391684,0.000856827,0.01349195,-0.002975633
8.55,0.05880937,0.04902784,-0.05330959,0.000602094,0.0122286,-0.002839837
8.553333,0.05836396,0.05133883,-0.05380478,0.001148448,0.0120677,-0.004603759
8.556667,0.0582161,0.05295174,-0.05389562,-0.00080764,0.01400489,-0.005867957
8.56,0.05886932,0.05266111,-0.05428782,-0.002962092,0.01654098,-0.005934339
8.563334,0.0611209,0.05087512,-0.05458083,-0.003815732,0.01877952,-0.00759908
8.566667,0.06407439,0.04918449,-0.05397358,-0.004169647,0.02081588,-0.008764095
8.570001,0.06692869,0.04899686,-0.05337014,-0.003627108,0.02045281,-0.01042883
8.573334,0.06858137,0.04910677,-0.05156126,-0.002581029,0.01909028,-0.01319221
8.576667,0.06863187,0.04851859,-0.0503551,-0.003137123,0.0167283,-0.01705803
8.58,0.06958645,0.04733151,-0.0507473,-0.005188578,0.01636522,-0.02042031
8.583334,0.07043803,0.04434389,-0.05073895,-0.006545759,0.01560541,-0.02278695
8.586667,0.07309016,0.040353,-0.05273332,-0.006598312,0.01553988,-0.02325007
8.59,0.07644419,0.03606457,-0.05542579,-0.006853045,0.01507761,-0.02261454
8.593333,0.07869577,0.03257722,-0.05531826,-0.00550942,0.01461535,-0.02118175
8.596667,0.08114953,0.03129096,-0.05501237,-0.00346389,0.01265391,-0.02114514
8.6,0.08170357,0.02900142,-0.05340566,-0.002516993,0.009891391,-0.02150906
8.603333,0.08225761,0.02661271,-0.05070033,-0.003572813,0.007628592,-0.02347517
8.606667,0.08210974,0.02332373,-0.04889145,-0.003529999,0.006468241,-0.02483854
8.610001,0.08256079,0.02013393,-0.04818501,-0.003582553,0.005704618,-0.02520247
8.613334,0.08241674,0.01784821,-0.04687585,-0.003837286,0.006543168,-0.02446777
8.616667,0.08376805,0.01595922,-0.0449716,-0.003092568,0.007080358,-0.02333252
8.62,0.08271992,0.01547023,-0.04156436,-0.001348399,0.006915642,-0.0214
8.623334,0.08157261,0.01428314,-0.03805794,0.000796313,0.005354748,-0.02066148
8.626667,0.07872775,0.01589223,-0.03505125,0.001941574,0.003790039,-0.0205295
8.63,0.07627963,0.01710459,-0.03204455,0.001789838,0.004327228,-0.01919208
8.633333,0.0745334,0.01781723,-0.03083457,0.000634837,0.005867683,-0.01745792
8.636667,0.07268418,0.01862904,-0.03062786,0.001478737,0.008502956,-0.01562077
8.64,0.07183823,0.01814005,-0.03072252,0.002623998,0.01134041,-0.01448552
8.643333,0.07179336,0.0180516,-0.03071417,0.004268984,0.01317841,-0.01145056
8.646667,0.07134414,0.0189626,-0.03050746,0.006215332,0.0123156,-0.01101721
8.650001,0.07069655,0.02007578,-0.03060211,0.006761685,0.01165498,-0.01128196
8.653334,0.07004896,0.02138732,-0.03089513,0.006506952,0.01068918,-0.0129467
8.656667,0.06960355,0.0216956,-0.03228678,0.005550316,0.01142854,-0.01291009
8.66,0.07115705,0.02031015,-0.0345787,0.004696675,0.012866,-0.01277429
8.663334,0.07340863,0.01951979,-0.03557362,0.004441942,0.01420428,-0.01113932
8.666667,0.07726238,0.01873325,-0.03586663,0.00418721,0.01424174,-0.00930598
8.67,0.07951396,0.0186448,-0.0351602,0.004432202,0.01267703,-0.007369646
8.673333,0.08126963,0.01935362,-0.03375186,0.00297584,0.01101696,-0.007436029
8.676667,0.08172067,0.02016544,-0.03104652,0.001820838,0.009951972,-0.007498596
8.68,0.08267526,0.01967644,-0.02963818,-3.23E-05,0.00779217,-0.008064704
8.683333,0.08422875,0.01898908,-0.02872957,-0.002785612,0.007627455,-0.007028639
8.686666,0.0873806,0.01759982,-0.02922476,-0.004440339,0.008767366,-0.006492299
8.690001,0.08783164,0.01711082,-0.02851833,-0.005396976,0.009903464,-0.006558681
8.693334,0.09018622,0.01642347,-0.02590836,-0.005552527,0.01044065,-0.005221255
8.696667,0.08884054,0.01773501,-0.02320302,-0.005307534,0.008479215,-0.005588999
8.7,0.0871935,0.01954628,-0.02019633,-0.00476118,0.006815324,-0.007150742
8.703334,0.08654591,0.02106,-0.01678909,-0.005416457,0.006753605,-0.009715751
8.706667,0.08619968,0.02306963,-0.01518238,-0.006170915,0.007489159,-0.01098376
8.71,0.08724964,0.02338172,-0.01527322,-0.006524829,0.008827434,-0.01244633
8.713333,0.08770449,0.02269436,-0.01426924,-0.006581198,0.009765167,-0.01261189
8.716667,0.08835772,0.02240373,-0.01326144,-0.005134576,0.01060372,-0.01227773
8.72,0.08680986,0.0222161,-0.01205529,-0.004088497,0.009439551,-0.01284002
8.723333,0.08506364,0.02332928,-0.01094831,-0.003843504,0.007176753,-0.01340613
8.726666,0.08351578,0.02383973,-0.0107416,-0.006497682,0.005116133,-0.01457114
8.73,0.08246765,0.02275183,-0.01153434,-0.008652134,0.004051149,-0.0161367
8.733334,0.08342223,0.02126339,-0.01302517,-0.01090958,0.006091329,-0.01640145
8.736667,0.08587599,0.01887467,-0.01501954,-0.01376212,0.008627419,-0.01596429
8.74,0.08882566,0.01658514,-0.01561392,-0.01601576,0.009763516,-0.01563013
8.743334,0.09127942,0.01399806,-0.01560557,-0.01787266,0.009003708,-0.01479243
8.746667,0.09293209,0.01300934,-0.01549805,-0.01902767,0.008140904,-0.01435909
8.75,0.09338695,0.01202062,-0.01539052,-0.01978212,0.007777824,-0.01662274
8.753333,0.09413935,0.01133326,-0.0165838,-0.0224363,0.007815288,-0.01808911
8.756667,0.09809229,0.00964264,-0.01987899,-0.02439239,0.01035138,-0.01755277
8.76,0.1001455,0.00695638,-0.0241698,-0.02564657,0.01349019,-0.0179167
8.763333,0.1035987,0.003167672,-0.02716363,-0.0259013,0.01742628,-0.01608336
8.766666,0.105053,0.001278684,-0.02825773,-0.02575549,0.02016455,-0.0136473
8.77,0.1054049,0.001190233,-0.02905047,-0.02530832,0.021602,-0.01141342
8.773334,0.1048565,0.001502324,-0.02794349,-0.02356415,0.02253973,-0.01187653
8.776667,0.1032094,0.003313592,-0.02723706,-0.02241889,0.02297774,-0.01244264
8.780001,0.1025619,0.003522687,-0.02762926,-0.0221739,0.02391548,-0.01220766
8.783334,0.1030167,0.004235322,-0.02832282,-0.02242863,0.02475403,-0.01217105
8.786667,0.1046694,0.005348501,-0.02901637,-0.02118419,0.02648903,-0.01143635
8.79,0.1053226,0.00505787,-0.0279094,-0.01843676,0.02772812,-0.01139973
8.793334,0.1054761,0.007571043,-0.02579915,-0.01559396,0.0276664,-0.009665576
8.796667,0.1038291,0.01058394,-0.02429163,-0.01394897,0.02770387,-0.008728692
8.8,0.1010796,0.01419193,-0.02068603,-0.01310125,0.02623834,-0.01029425
8.803333,0.09943254,0.01530511,-0.01827824,-0.01315762,0.02737825,-0.01245872
8.806667,0.0977855,0.01461775,-0.01627099,-0.01261127,0.03071543,-0.01332619
8.81,0.09724091,0.01402957,-0.01406538,-0.01226709,0.03265261,-0.01518929
8.813334,0.09599441,0.01323922,-0.01035678,-0.01162156,0.03438762,-0.01455377
8.816667,0.09444655,0.01245268,-0.006350632,-0.01037711,0.03412753,-0.01322016
8.820001,0.09180006,0.01106341,-0.001943941,-0.007332135,0.03346309,-0.01358409
8.823334,0.08824949,0.01047524,0.001963025,-0.005385787,0.03030003,-0.01514964
8.826667,0.08680463,0.01018461,0.00487054,-0.004141344,0.0289375,-0.01641384
8.83,0.08665676,0.008596979,0.005077249,-0.003694172,0.02767796,-0.0172775
8.833334,0.08730999,0.006608808,0.003483422,-0.003048636,0.0272157,-0.01744306
8.836667,0.08806239,0.00502118,0.002290137,-0.00070556,0.02685262,-0.01690672
8.84,0.08921534,0.003631918,0.001596578,0.00064188,0.02758818,-0.01417311
8.843333,0.08986856,0.002845376,0.001704105,0.001787141,0.02812536,-0.01253814
8.846667,0.0897207,0.004053922,0.002811083,0.002531859,0.02736556,-0.01170044
8.85,0.08867638,0.004568193,0.003616699,0.003276577,0.02499976,-0.01226655
8.853333,0.08732688,0.004979467,0.00342668,0.002720483,0.02393859,-0.01182939
8.856667,0.08728202,0.005188562,0.002832303,0.001565481,0.02347633,-0.01059496
8.860001,0.08703498,0.003700117,0.001238475,0.00041048,0.0235138,-0.008959989
8.863334,0.08788656,0.002814394,0.001445185,0.00055629,0.02365044,-0.00582584
8.866667,0.08813924,0.003725393,0.000553261,0.001701551,0.02339036,-0.00208897
8.87,0.08769383,0.006337747,0.002259147,0.002846813,0.02072702,0.000545454
8.873334,0.08534489,0.009747373,0.002267492,0.002893441,0.01876177,0.001482337
8.876667,0.08169895,0.01155864,0.000875843,0.001936804,0.01879923,0.001816498
8.88,0.07895327,0.0120691,-0.000817167,-0.000618191,0.01863833,0.00125039
8.883333,0.07700487,0.01248419,-0.003810989,-0.002669647,0.01977442,0.002385637
8.886667,0.07455675,0.01099574,-0.00580536,-0.004724917,0.02161242,0.004119792
8.89,0.0723108,0.01060593,-0.008097277,-0.005078832,0.02335124,0.005056675
8.893333,0.06966431,0.01051748,-0.01038919,-0.005333564,0.02218708,0.005993558
8.896667,0.06751754,0.01012766,-0.01048385,-0.00598884,0.02122509,0.00612554
8.900001,0.06637023,0.009138945,-0.01137577,-0.008143293,0.01986256,0.006162154
8.903334,0.06692045,0.007551317,-0.01377068,-0.01119801,0.01949948,0.005798226
8.906667,0.06927503,0.005364782,-0.01586424,-0.01405437,0.01803777,0.005232118
8.91,0.07272825,0.002174982,-0.01795779,-0.01691073,0.01707578,0.005268733
8.913334,0.07637982,-0.001213183,-0.01904808,-0.01826409,0.01771215,0.004702625
8.916667,0.07983303,-0.003502714,-0.01874219,-0.02061691,0.01745207,0.006738141
8.92,0.08258815,-0.004090891,-0.01823412,-0.02277136,0.01558982,0.006973119
8.923333,0.08334056,-0.003778799,-0.01752768,-0.02422772,0.01492538,0.005411376
8.926667,0.0844935,-0.003268343,-0.01572261,-0.02618381,0.01436393,0.004246361
8.93,0.0866459,-0.00485597,-0.0168129,-0.02933771,0.01490112,0.004378343
8.933333,0.08909966,-0.006645777,-0.0173081,-0.03069108,0.01663613,0.005116861
8.936666,0.0909507,-0.008031225,-0.01810084,-0.02984718,0.01877549,0.006252109
8.940001,0.09370582,-0.008119676,-0.01589141,-0.02750029,0.01991158,0.008184628
8.943334,0.09535849,-0.006010863,-0.01298771,-0.02415776,0.02084932,0.009319875
8.946667,0.09530981,-0.00469932,-0.009778837,-0.01981197,0.02188623,0.008856764
8.95,0.09446386,-0.002888052,-0.006573775,-0.01676699,0.02182451,0.006593116
8.953334,0.09391545,0.000925932,-0.004566529,-0.01522118,0.02276224,0.00512674
8.956667,0.09406894,-6.28E-05,-0.003757097,-0.0141751,0.0255997,0.005563898
8.96,0.09422244,-0.001852594,-0.002451755,-0.01283148,0.02843715,0.005596697
8.963333,0.09447513,-0.002742132,-0.002245046,-0.01008405,0.03037433,0.006632762
8.966667,0.09332781,-0.00312813,-0.000237799,-0.007138247,0.03211315,0.007867192
8.97,0.09248186,-0.001816587,0.001269722,-0.005893804,0.03194844,0.008601896
8.973333,0.08993455,-0.000405863,0.001876974,-0.00534745,0.03278698,0.008939872
8.976666,0.08738724,0.000505137,0.002983952,-0.005903544,0.03332417,0.008572128
8.98,0.08593857,0.000119139,0.002389575,-0.007359907,0.03356382,0.00920765
8.983334,0.08579452,-0.001670667,0.000997926,-0.008213547,0.03569936,0.008343996
8.986667,0.08494475,-0.003258295,3.01E-06,-0.007766375,0.03653792,0.009879787
8.99,0.08519743,-0.003648107,-0.000187013,-0.00862383,0.03657538,0.01231585
8.993334,0.08325284,-0.003637377,0.000317242,-0.009176109,0.03541121,0.01324891
8.996667,0.08100689,-0.002825559,0.00142422,-0.01063247,0.03475059,0.0127858
9,0.07935985,-0.001514017,0.00093284,-0.01288611,0.03448669,0.01212051
9.003333,0.0784109,-0.001201925,0.000239281,-0.01594083,0.03622551,0.01175658
9.006667,0.07796549,-0.003090913,-0.000553461,-0.01769474,0.03766297,0.01228911
9.01,0.07691736,-0.005079084,-0.000747295,-0.01825083,0.03779961,0.01432463
9.013333,0.07667032,-0.005266718,0.000260501,-0.01780747,0.03813844,0.01685987
9.016666,0.07772408,-0.005454351,0.001268297,-0.01705894,0.03927453,0.01899838
9.02,0.0776754,-0.006244707,0.002974182,-0.0158145,0.03851091,0.01923336
9.023334,0.07602836,-0.004631803,0.006480605,-0.01476842,0.03735056,0.01826671
9.026667,0.07528159,-0.003221079,0.00718704,-0.01392452,0.03748721,0.01740305
9.030001,0.07623617,-0.004209798,0.007294566,-0.01387789,0.03792521,0.01673776
9.033334,0.07808721,-0.004698793,0.006200464,-0.01413262,0.03926349,0.01667138
9.036667,0.08033879,-0.006686964,0.006708534,-0.01228927,0.04059795,0.01720772
9.04,0.08269337,-0.007374323,0.008315237,-0.01014456,0.04043705,0.01804161
9.043334,0.08484577,-0.00606278,0.009921941,-0.008198212,0.04057369,0.01777686
9.046667,0.08430117,-0.004751238,0.01332918,-0.006152682,0.04001225,0.01571539
9.05,0.08395113,-0.003039152,0.01503888,-0.004408514,0.03954999,0.01324956
9.053333,0.0850049,-0.003028421,0.0158445,-0.005361336,0.04018636,0.009482926
9.056667,0.0857573,-0.004818227,0.0154523,-0.004319072,0.04142546,0.006521188
9.06,0.08721161,-0.006405855,0.01585737,-0.003471357,0.04366018,0.006153445
9.063334,0.0874643,-0.007192396,0.01586572,-0.002726639,0.04369765,0.005888698
9.066667,0.08711807,-0.008680841,0.01657215,-0.001581378,0.0425373,0.005025044
9.070001,0.0848683,-0.00767066,0.01667968,-0.001736929,0.03997314,0.003261121
9.073334,0.08272154,-0.00576021,0.0181872,-0.003090295,0.03951088,0.000196387
9.076667,0.08037641,-0.004547849,0.01889364,-0.004844204,0.03934998,-0.001670532
9.08,0.07942746,-0.004834665,0.01779953,-0.007300016,0.03888771,-0.002332008
9.083334,0.07878368,-0.00562502,0.0183076,-0.009656647,0.03922272,-0.002097029
9.086667,0.07893337,-0.005511293,0.01881567,-0.01260837,0.03986291,-0.001461507
9.09,0.07808741,-0.004302747,0.01922075,-0.01466364,0.04009874,0.000272648
9.093333,0.07613901,-0.003189569,0.02222745,-0.01581864,0.03923593,0.000705991
9.096667,0.0736947,-0.001179937,0.02443687,-0.01687446,0.03907503,-0.000657389
9.1,0.07224602,-0.001066209,0.02614276,-0.01802946,0.0397114,-0.003420762
9.103333,0.07140007,-0.000456571,0.02594892,-0.01978337,0.04204913,-0.004684959
9.106667,0.07215247,-0.000945566,0.025057,-0.02063701,0.04578685,-0.004850524
9.110001,0.07290488,-0.00213265,0.02446262,-0.02099474,0.0480254,-0.003516912
9.113334,0.07405783,-0.002919191,0.02437178,-0.02064675,0.04946285,-0.001782757
9.116667,0.07440969,-0.002408735,0.02727548,-0.01910095,0.05009922,-0.000746692
9.12,0.07336538,-0.000795831,0.02948491,-0.01655569,0.05083478,-0.000210352
9.123334,0.07301915,0.002312434,0.0311908,-0.01521207,0.05167333,0.000123809
9.126667,0.0726691,0.004123702,0.03259913,-0.0147649,0.05180997,-4.18E-05
9.13,0.07412341,0.004336611,0.03290503,-0.01382181,0.05394934,0.001795396
9.133333,0.07627581,0.00424816,0.03261201,-0.01317628,0.05748488,0.004929544
9.136667,0.07892793,0.005559703,0.03361981,-0.01082939,0.06102423,0.007167239
9.14,0.07978334,0.007172606,0.0345246,-0.008284133,0.0616606,0.009301937
9.143333,0.08003601,0.008781695,0.03683321,-0.006238603,0.06319724,0.01093691
9.146667,0.07768707,0.01189378,0.04024045,-0.004494434,0.06393661,0.01137025
9.150001,0.07544112,0.01490667,0.04184715,-0.001949179,0.0644738,0.0125055
9.153334,0.07609434,0.0149174,0.04265277,0.000393897,0.06721207,0.01484238
9.156667,0.07954755,0.01503113,0.04396193,0.001142429,0.06864953,0.01757598
9.16,0.08200131,0.01554159,0.04456918,0.001486604,0.06988481,0.02271285
9.163334,0.08435208,0.01665095,0.04637425,0.003730498,0.07002145,0.0278459
9.166667,0.08530667,0.0192633,0.04928176,0.006878475,0.0702611,0.03258222
9.17,0.0844569,0.01997594,0.05168955,0.0082221,0.06899775,0.03391964
9.173333,0.08301204,0.02088694,0.0529949,0.008467093,0.0684363,0.0349519
9.176667,0.08306635,0.02119903,0.05280106,0.008311543,0.0695724,0.03598796
9.18,0.08431848,0.02120976,0.05100887,0.008358171,0.07110904,0.03692484
9.183333,0.08476952,0.02002268,0.04941504,0.008603163,0.07244731,0.0393609
9.186666,0.08552193,0.01883178,0.04822176,0.009649242,0.07268696,0.04109506
9.190001,0.08487815,0.01704579,0.04813092,0.009692056,0.07182416,0.04123085
9.193334,0.08362784,0.01695734,0.04773872,0.01033759,0.07165944,0.03996666
9.196667,0.08158407,0.01636916,0.04864352,0.0104834,0.07019772,0.03750083
9.2,0.07923513,0.01457935,0.04844969,0.009728944,0.06873602,0.03423392
9.203334,0.07788945,0.01029092,0.04805749,0.007975035,0.06817076,0.03277136
9.206667,0.07653996,0.007001937,0.04716557,0.007018398,0.06850958,0.03260579
9.21,0.07459537,0.004815402,0.04777282,0.006164758,0.06794814,0.03144078
9.213333,0.07304752,0.002426688,0.04918116,0.005608664,0.06678397,0.03097766
9.216667,0.0713013,0.000938243,0.05088704,0.004255299,0.06482253,0.02811129
9.22,0.06615236,0.001147338,0.0520932,0.003100297,0.06066002,0.02534792
9.223333,0.06000398,-0.000440289,0.053101,0.001247206,0.05899613,0.02248155
9.226666,0.05585831,-0.001429009,0.05350607,-0.001208607,0.05893441,0.01991654
9.23,0.05331101,-0.002715276,0.05261415,-0.00366442,0.05867051,0.01805344
9.233334,0.05156478,-0.002803727,0.05152005,-0.004716425,0.05870797,0.01728896
9.236667,0.05141692,-0.000992459,0.05152839,-0.004173886,0.05854707,0.01782149
9.24,0.05097151,0.000917991,0.05223482,-0.003127807,0.05798563,0.01806028
9.243334,0.04882474,0.003629527,0.05314344,-0.003180361,0.05762255,0.0179939
9.246667,0.04607525,0.006539428,0.05314797,-0.003736455,0.05706111,0.01753079
9.25,0.04492794,0.0090526,0.05195469,-0.004792274,0.05789584,0.01516415
9.253333,0.04488308,0.01126441,0.05096358,-0.005344553,0.06013438,0.01629939
9.256667,0.04483439,0.01257595,0.04967111,-0.004100109,0.06277347,0.01803355
9.26,0.04448817,0.01348695,0.04857701,-0.002256759,0.06450848,0.01956934
9.263333,0.04303949,0.01579795,0.04838318,0.000490675,0.06594594,0.0220054
9.266667,0.04139245,0.01871166,0.04829234,0.003936199,0.0666853,0.02333901
9.27,0.03954704,0.02162156,0.04759878,0.006679818,0.0658225,0.02337562
9.273334,0.03709892,0.02333365,0.04810685,0.008225622,0.06526106,0.02321006
9.276667,0.03575324,0.0238441,0.04671139,0.008569797,0.0653977,0.02504721
9.280001,0.03500647,0.02305756,0.04482001,0.00911615,0.06633543,0.02638082
9.283334,0.0342597,0.02266775,0.04392428,0.01036059,0.06787208,0.02891606
9.286667,0.03581319,0.02317821,0.0434329,0.01170803,0.06880981,0.03235157
9.29,0.03626423,0.02509247,0.04323906,0.01385275,0.06894645,0.033689
9.293334,0.03631855,0.02600347,0.0439455,0.016295,0.0676831,0.03422152
9.296667,0.0353696,0.02681529,0.04515547,0.01654381,0.06752221,0.03435732
9.3,0.03612201,0.02632629,0.04475946,0.01638826,0.06746048,0.03299394
9.303333,0.03657686,0.02483785,0.04326862,0.01623271,0.0690963,0.03152756
9.306667,0.03822954,0.02344858,0.04267425,0.01677906,0.06913377,0.03116364
9.31,0.04168275,0.0222615,0.04368204,0.01842405,0.06886987,0.03189834
9.313334,0.04523514,0.02197087,0.04498739,0.0202674,0.06860979,0.03243468
9.316667,0.04548782,0.0226835,0.04549546,0.02281266,0.06624781,0.03297102
9.320001,0.04544295,0.02309478,0.04710216,0.02425928,0.06378283,0.03130628
9.323334,0.04549345,0.02330769,0.04711051,0.02350482,0.06292003,0.03093854
9.326667,0.04614668,0.02221979,0.04671831,0.02234982,0.06405994,0.03177624
9.33,0.04910016,0.02052916,0.04482312,0.02119482,0.0654974,0.0327093
9.333334,0.05115338,0.01814045,0.0459301,0.02253844,0.06673267,0.03394374
9.336667,0.05210796,0.01785363,0.04723925,0.02498451,0.06726986,0.03448008
9.34,0.05165873,0.0169641,0.04894514,0.02612978,0.06750951,0.03441751
9.343333,0.04921061,0.0164751,0.05165048,0.02697749,0.0666467,0.03365304
9.346667,0.04696466,0.01628747,0.05345936,0.02682194,0.06628362,0.03248802
9.35,0.0455198,0.0142993,0.0548677,0.02576612,0.06632109,0.03122001
9.353333,0.04476922,0.0111095,0.05447168,0.02531302,0.06725882,0.03005881
9.356667,0.04462517,0.008720783,0.05448003,0.02555802,0.06779601,0.03049215
9.360001,0.04437812,0.007934242,0.05598755,0.02630273,0.06733375,0.03122685
9.363334,0.0425289,0.007445247,0.05739207,0.02774554,0.0667723,0.0317632
9.366667,0.03988241,0.008058701,0.05920095,0.02879162,0.06530678,0.03179981
9.37,0.03633565,0.009469425,0.06130738,0.03013906,0.06254426,0.0305318
9.373334,0.03228917,0.01088015,0.06111355,0.03058242,0.06008309,0.02866869
9.376667,0.02964268,0.01239006,0.05922218,0.03102959,0.05852219,0.02720232
9.38,0.02919345,0.01250378,0.05752917,0.03167513,0.05755639,0.02733811
9.383333,0.03074694,0.01281588,0.05663724,0.03282038,0.05699495,0.02867554
9.386667,0.03180071,0.01402442,0.05544396,0.03516346,0.05553324,0.02960861
9.39,0.03165285,0.01593869,0.05525012,0.03870817,0.05336962,0.03044631
9.393333,0.03090608,0.01754778,0.05575819,0.04105506,0.05100764,0.0291783
9.396667,0.02985794,0.01925986,0.05516382,0.04289841,0.05064456,0.02841382
9.400001,0.03061416,0.02077358,0.05237217,0.04264368,0.05288311,0.02825207
9.403334,0.03216384,0.01978486,0.05007644,0.04159167,0.0554192,0.02958569
9.406667,0.03432005,0.01859396,0.04748316,0.04283611,0.05805828,0.03092311
9.41,0.03607191,0.01880687,0.04639288,0.0444811,0.06049519,0.03275645
9.413334,0.03632459,0.02111787,0.04589768,0.04592773,0.06223401,0.03409006
