Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
0.2266667,-0.202716,-0.1405095,-0.4183511,-0.1889298,-0.7736174,-0.03516509
0.23,-0.1947653,-0.1376988,-0.4168436,-0.180384,-0.7655806,-0.03312958
0.2333333,-0.1893132,-0.1345867,-0.4154353,-0.1735396,-0.758444,-0.0328946
0.2366667,-0.1837581,-0.1313754,-0.4156291,-0.167893,-0.751006,-0.03296098
0.24,-0.1789049,-0.1295642,-0.4154224,-0.1624486,-0.7420688,-0.03182573
0.2433333,-0.1726517,-0.1279512,-0.4163143,-0.1563022,-0.7346309,-0.03069049
0.2466667,-0.1651015,-0.1252397,-0.4167065,-0.1492595,-0.726594,-0.02755634
0.25,-0.1594472,-0.1223298,-0.4168012,-0.1424112,-0.7195566,-0.02512028
0.2533333,-0.1561923,-0.1199158,-0.4166937,-0.1367684,-0.7140183,-0.02368367
0.2566667,-0.1542421,-0.1153046,-0.4169867,-0.1310227,-0.7087814,-0.02334951
0.26,-0.1539894,-0.1104949,-0.4158797,-0.1252769,-0.7033423,-0.0226148
0.2633334,-0.1532332,-0.1068831,-0.4160735,-0.1223311,-0.6977049,-0.02077765
0.2666667,-0.1528813,-0.1045721,-0.4176674,-0.1192861,-0.6919683,-0.01814323
0.27,-0.152827,-0.1035581,-0.4193604,-0.1142422,-0.6860294,-0.01550881
0.2733333,-0.1544741,-0.1028493,-0.4196534,-0.1082981,-0.6811931,-0.01117303
0.2766667,-0.1577233,-0.1017362,-0.4187448,-0.1007517,-0.6770548,-0.007039428
0.28,-0.160469,-0.1002262,-0.4171381,-0.09570404,-0.673218,-0.005801184
0.2833333,-0.163619,-0.09841116,-0.4148295,-0.09196097,-0.6708802,-0.005165662
0.2866667,-0.1674633,-0.09630235,-0.4142222,-0.08841626,-0.6673447,-0.004533955
0.29,-0.1705103,-0.09539135,-0.4149158,-0.08756855,-0.6609061,-0.003097347
0.2933334,-0.1730576,-0.09517843,-0.4148082,-0.0851263,-0.6550665,-0.000962649
0.2966667,-0.1761047,-0.09456498,-0.4137013,-0.08097886,-0.6498296,0.000172599
0.3,-0.1804525,-0.09145672,-0.4105954,-0.07633553,-0.6448941,0.002410294
0.3033333,-0.1850979,-0.08694465,-0.4069898,-0.07158919,-0.6417553,0.002744454
0.3066667,-0.1896479,-0.08173066,-0.4041815,-0.06814367,-0.6395167,0.001278078
0.31,-0.1955941,-0.07671887,-0.4018728,-0.06559841,-0.6360804,-0.00098557
0.3133333,-0.2003387,-0.07200843,-0.4000678,-0.06305316,-0.6315416,-0.002848675
0.3166667,-0.201486,-0.06799608,-0.3984611,-0.05930628,-0.6260071,-0.003513964
0.32,-0.2007336,-0.06328564,-0.3961525,-0.05576157,-0.620568,-0.002977625
0.3233334,-0.2009807,-0.05777412,-0.3942482,-0.0519155,-0.6150298,-0.001644013
0.3266667,-0.2016283,-0.05146151,-0.3917412,-0.04857298,-0.6092932,-0.00121067
0.33,-0.2039772,-0.04425244,-0.3873346,-0.04362828,-0.6024579,-0.002074324
0.3333333,-0.2058226,-0.03793983,-0.3832254,-0.03948085,-0.5962178,-0.004139608
0.3366667,-0.2056691,-0.0332294,-0.3795206,-0.0362375,-0.5886806,-0.004804898
0.34,-0.2049167,-0.02981596,-0.3764109,-0.0332917,-0.581544,-0.006168277
0.3433333,-0.2047632,-0.0272036,-0.3742053,-0.02944564,-0.5747049,-0.006433024
0.3466667,-0.2035111,-0.02529315,-0.3693981,-0.02509985,-0.5675683,-0.0037986
0.35,-0.2031592,-0.02358107,-0.36469,-0.02035351,-0.5618317,-0.000961998
0.3533334,-0.2023038,-0.02136925,-0.3573842,-0.01590854,-0.5567932,-0.000925384
